ID_Posting,ID_Posting_Parent,ID_GodotObject,ID_CommunityIdentity,id_posting_status,Headline,Comment,createdAt,VoteNegative,VotePositive,merged_text,p_merged_text
1049746955,1049746300,2000114365338,581535,1.0,,"Nö, noch um einiges schlimmer.",2020-02-10 13:39:17.460,False,True,"Nö, noch um einiges schlimmer. | ",nö schlimm
1052001708,1052000922,2000116305030,189623,1.0,,offenbar. arbeiten ja schon länge dran.,2020-03-30 09:39:23.340,False,True,offenbar. arbeiten ja schon länge dran. | ,offenbar arbeiten ja schon lange dran
1052001716,1052000980,2000116305030,605108,1.0,,"Kommt drauf an, wieviel getestet wurde. Und am Wochenende wird in den Labors vermutlich auch weniger ausgewertet, also sind die Zahen am Monat wsl niedriger...",2020-03-30 09:39:32.923,True,False,"Kommt drauf an, wieviel getestet wurde. Und am Wochenende wird in den Labors vermutlich auch weniger ausgewertet, also sind die Zahen am Monat wsl niedriger... | ",kommen drauf wieviel testen werden Wochenende labor vermutlich weniger auswerten zahen Monat isl niedrig
1052001937,-1,2000116305030,155299,1.0,,rayonen?,2020-03-30 09:43:08.523,False,True,rayonen? | ,rayon
1052001954,1052000486,2000116305030,165633,1.0,,"Wenn sie die Malleklientel nicht wegschicken, saufen die hier, und das wollen wir alle nicht.",2020-03-30 09:43:24.823,False,True,"Wenn sie die Malleklientel nicht wegschicken, saufen die hier, und das wollen wir alle nicht. | ",Malleklientel wegschicken saufen
1052001962,1052001662,2000116305030,700875,1.0,,Dachte ich mir auch sofort... Langeweile im Homeoffice oder aufarbeiten von Altlasten?,2020-03-30 09:43:33.557,True,False,Dachte ich mir auch sofort... Langeweile im Homeoffice oder aufarbeiten von Altlasten? | ,denken sofort Langeweile Homeoffice Aufarbeit Altlast
1052002200,-1,2000116305030,651485,1.0,,Ich nehm diese „gute Nachricht“ zur Kenntnis.,2020-03-30 09:47:37.387,False,True,Ich nehm diese „gute Nachricht“ zur Kenntnis. | ,nehmn gut Nachricht Kenntnis
1052002297,1052002260,2000116305030,26392,1.0,,"würd ich so nicht sagen, die Anzahl der schweren Fälle steigt leider",2020-03-30 09:49:02.807,False,True,"würd ich so nicht sagen, die Anzahl der schweren Fälle steigt leider | ",werdn sagen Anzahl schwer fälle steigen leider
1052002585,1052002492,2000116305030,604103,1.0,,DAnke Tirol?,2020-03-30 09:52:51.897,True,False,DAnke Tirol? | ,danken Tirol
1052002586,1052002387,2000116305030,651412,1.0,,Bettzeug ist besser. Kochfeste Baumwolle.,2020-03-30 09:52:52.867,False,True,Bettzeug ist besser. Kochfeste Baumwolle. | ,Bettzeug gut kochfe Baumwolle
1052002603,1052002491,2000116305030,546144,1.0,,Ging in Italien auch. Weiß nicht wieso es man in Österreich nicht schafft sich einmal zusammen zu reißen und nicht die ganze Zeit rumzusudern.,2020-03-30 09:52:59.840,True,False,Ging in Italien auch. Weiß nicht wieso es man in Österreich nicht schafft sich einmal zusammen zu reißen und nicht die ganze Zeit rumzusudern. | ,gehen Italien wissen wieso Österreich schaffen zusammen reißen ganz Zeit Rumzusuder
1052002692,1052002608,2000116305030,216207,1.0,,"Heute kommen sicherlich noch 30 andere ""Experten"" die was anderes behaupten.. dann machen wir am Ende des Tages einen Querschnitt, dann sind wir vielleicht in der Nähe der Wahrheit...",2020-03-30 09:54:05.777,False,True,"Heute kommen sicherlich noch 30 andere ""Experten"" die was anderes behaupten.. dann machen wir am Ende des Tages einen Querschnitt, dann sind wir vielleicht in der Nähe der Wahrheit... | ",heute kommen sicherlich 30 Experte behaupten Ende Tag querschneiten vielleicht Nähe Wahrheit
1052002730,1052002668,2000116305030,552174,1.0,,Hat noch nichtmal richtig angefangen,2020-03-30 09:54:31.110,True,False,Hat noch nichtmal richtig angefangen | ,nichtmal richtig anfangen
